,best_training_time_sec,best_training_time_sec,best_training_time_sec,test_accuracy,test_accuracy,test_accuracy,test_auc_roc,test_auc_roc,test_auc_roc
model_name,random_forest,xgboost,xrfm,random_forest,xgboost,xrfm,random_forest,xgboost,xrfm
train_size,,,,,,,,,
500,0.487377405166626,0.12383127212524414,0.13295841217041016,0.8351929573139523,0.8277203398505476,0.8285392568328386,0.8871365349352048,0.8730545426247683,0.8415176970587344
1000,0.5725021362304688,0.1453385353088379,0.19288039207458496,0.8445081379875116,0.8419490224178524,0.8343740403316614,0.8946075206412828,0.8899683187405683,0.8555617008672546
2000,0.6151127815246582,1.7079308032989502,0.42412257194519043,0.8578155389497389,0.8519807554509161,0.8394922714709796,0.9055430289429791,0.9014088438844094,0.856848906719694
5000,0.6411235332489014,0.2637827396392822,2.746586322784424,0.8637526870713481,0.8662094380182209,0.8491145460128979,0.9097524427470108,0.9155363936179777,0.8845895209983746
10000,0.7633883953094482,2.523470401763916,4.650207042694092,0.8666188965093664,0.8725560446309756,0.8609888422561163,0.9134919502940022,0.9238484792914889,0.9052569927910488
20000,1.0613791942596436,3.459050178527832,7.371656656265259,0.86764254273723,0.8749104309550619,0.8624219469751254,0.9162014801931979,0.9276629565714294,0.9068609133886331
29305,1.3757579326629639,0.5824475288391113,12.6610586643219,0.8685638243423073,0.8766506295424301,0.8603746545193981,0.9178874501990887,0.9290807622887912,0.9067272917110584
