feature_name,agop_mean_importance,agop_std_importance,agop_max_importance,num_leaves_detected,pca_importance,mi_importance,permutation_importance,rank_agop,rank_pca,rank_mi,rank_permutation,mean_rank,rank_spread
garagecars,0.008591942096033414,,0.008591942096033414,1,0.047920661984703294,0.34145100151555985,754.5568238187421,17.0,19.0,3.0,9.0,12.0,16.0
exterqual_Ex,0.007763773717337099,,0.007763773717337099,1,0.005427584560416654,0.06099712806122737,61.68929860354401,18.0,106.0,48.0,26.0,49.5,88.0
2ndflrsf,0.006641215493710291,,0.006641215493710291,1,0.06929636651643148,0.21332079907839185,245.9107786587534,19.0,6.0,14.0,14.0,13.25,13.0
yearremodadd,0.006011956940908803,,0.006011956940908803,1,0.06259371938228407,0.2628930941495775,383.1967682666676,20.0,11.0,9.0,13.0,13.25,11.0
mszoning_RM,0.005780839126606009,,0.005780839126606009,1,0.01381570459686249,0.0729391551307117,103.70278702776923,21.0,58.0,43.0,22.0,36.0,37.0
lotconfig_CulDSac,0.0050522483119913066,,0.0050522483119913066,1,0.004032410949496117,0.017125081215711546,63.346714372635326,22.0,120.0,112.0,25.0,69.75,98.0
fireplaces,0.004870002287997533,,0.004870002287997533,1,0.05427764142290732,0.17098038101452961,127.38322985052727,23.0,14.0,20.0,21.0,19.5,9.0
saletype_New,0.004382139552490162,,0.004382139552490162,1,0.010276845088400287,0.053655548302927514,-61.06528937952025,24.0,70.0,54.0,278.0,106.5,254.0
landcontour_HLS,0.004318139991232287,,0.004318139991232287,1,0.0016633872452220314,0.024867654975442077,-8.499412047805526,25.0,179.0,91.0,271.0,141.5,246.0
salecondition_Partial,0.004084190630907768,,0.004084190630907768,1,0.010512780191343744,0.08394120125226445,-95.4237239850685,26.0,69.0,38.0,279.0,103.0,253.0
bsmtfullbath,0.0029775762569959016,,0.0029775762569959016,1,0.06325846025081938,0.02864814240669311,493.96820074735734,27.0,10.0,82.0,12.0,32.75,72.0
lotconfig_FR2,0.0023830995715259174,,0.0023830995715259174,1,0.0014413152418792736,0.0,8.883770728156378,28.0,186.0,252.0,34.0,125.0,224.0
garagearea,0.001996821092315301,,0.001996821092315301,1,0.04981331451817487,0.3199452186202625,183.44515587223503,29.0,18.0,6.0,17.0,17.5,23.0
mssubclass,0.001967304847579343,,0.001967304847579343,1,0.052332412639940665,0.26653130030328187,128.73962849750242,30.0,16.0,8.0,20.0,18.5,22.0
neighborhood_Edwards,0.00179355764973825,,0.00179355764973825,1,0.004439857778217789,0.029833307679444365,20.63849555539855,31.0,112.0,79.0,30.0,63.0,82.0
foundation_PConc,0.0016221546840222698,,0.0016221546840222698,1,0.03008990791289276,0.16507473865821565,31.635714963705688,32.0,28.0,21.0,28.0,27.25,11.0
screenporch,0.0014021248314001896,,0.0014021248314001896,1,0.026185214240301784,0.03694670681490875,202.04712285429122,33.0,33.0,70.0,16.0,38.0,54.0
kitchenabvgr,0.001358532723694782,,0.001358532723694782,1,0.04209185640567553,0.02386657526360958,183.04084216841292,34.0,21.0,93.0,18.0,41.5,75.0
fullbath,0.001126042413285388,,0.001126042413285388,1,0.06517414011468402,0.24371394320504391,52.62856123145175,35.0,9.0,10.0,27.0,20.25,26.0
bedroomabvgr,0.000870853865172341,,0.000870853865172341,1,0.04696688020330074,0.0382551654753871,66.51931426142619,36.0,20.0,68.0,24.0,37.0,48.0
halfbath,0.0007409653667498925,,0.0007409653667498925,1,0.06082476619101683,0.06547870904372655,18.80321712980949,37.0,12.0,46.0,31.0,31.5,34.0
3ssnporch,0.000703726837086926,,0.000703726837086926,1,0.01160391693662504,0.0,-28.850751959897025,38.0,64.0,252.0,277.0,157.75,239.0
1stflrsf,0.0006724609689357983,,0.0006724609689357983,1,0.07549355958006686,0.3193624617567661,-26.664605759976986,39.0,2.0,7.0,276.0,81.0,274.0
neighborhood_NridgHt,0.0006648128231293401,,0.0006648128231293401,1,0.006471335502323004,0.07568283996736813,24.101162156039937,40.0,97.0,41.0,29.0,51.75,68.0
bsmtfintype1_GLQ,0.0006020206276705576,,0.0006020206276705576,1,0.024637840072158152,0.10134956907221038,14.123882799262356,41.0,42.0,33.0,33.0,37.25,9.0
saletype_WD,0.0005974421007174496,,0.0005974421007174496,1,0.009390227178128265,0.04746254224899071,2.4340088670469413,42.0,80.0,57.0,40.0,54.75,40.0
bldgtype_1Fam,0.0004907996817314101,,0.0004907996817314101,1,0.01462158914731621,0.031654790989826154,3.6276684789147113,43.0,55.0,76.0,38.0,53.0,38.0
neighborhood_NoRidge,0.0004172265762219806,,0.0004172265762219806,1,0.0034297810786466753,0.03645213608100617,-0.9236066779543762,44.0,131.0,71.0,267.0,128.25,223.0
extercond_Gd,0.0003415033863584023,,0.0003415033863584023,1,0.006019755795019752,0.0,-8.072953611500997,45.0,102.0,252.0,269.0,167.0,224.0
mszoning_FV,0.0003133378995605438,,0.0003133378995605438,1,0.004906195924400724,0.016938949216152244,14.626054501836188,46.0,110.0,113.0,32.0,75.25,81.0
masvnrtype_Stone,0.00030446466337035583,,0.00030446466337035583,1,0.009418739998749696,0.05870230433882928,-11.283556060131378,47.0,79.0,49.0,273.0,112.0,226.0
exterqual_TA,0.0002900596865241382,,0.0002900596865241382,1,0.027124268174217033,0.23509202650419692,6.313282577685459,48.0,32.0,12.0,36.0,32.0,36.0
bsmtcond_TA,0.0002884040956451877,,0.0002884040956451877,1,0.0024806864851365006,0.006258090300072183,-0.09707288804856944,49.0,151.0,165.0,261.0,156.5,212.0
garageyrblt,0.00026368719976208103,,0.00026368719976208103,1,0.06901342336894996,0.23869876415336178,-8.258469831521506,50.0,7.0,11.0,270.0,84.5,263.0
kitchenqual_TA,0.00021715380817057065,,0.00021715380817057065,1,0.02492664060473002,0.2012137946835586,-0.30579216224941774,51.0,40.0,17.0,264.0,93.0,247.0
neighborhood_NAmes,0.00014330345376093858,,0.00014330345376093858,1,0.010652444650263241,0.05172087200325359,0.6907572487856669,52.0,68.0,55.0,45.0,55.0,23.0
openporchsf,7.56912681608665e-05,,7.56912681608665e-05,1,0.031175590114809765,0.13467259476202065,4.70786471430547,53.0,27.0,24.0,37.0,35.25,29.0
lotfrontage,7.358418649096445e-05,,7.358418649096445e-05,1,0.051815046261694045,0.18920602861755542,6.398035642135073,54.0,17.0,18.0,35.0,31.0,37.0
bsmtexposure_No,7.064320175396952e-05,,7.064320175396952e-05,1,0.017894761356804095,0.04692609494013511,-0.8849002785202174,55.0,47.0,58.0,266.0,106.5,219.0
totrmsabvgrd,6.458625498100729e-05,,6.458625498100729e-05,1,0.06789121312665693,0.129453463001032,-0.017994041177007602,56.0,8.0,26.0,251.0,85.25,243.0
paveddrive_Y,4.999995638182266e-05,,4.999995638182266e-05,1,0.008233640270623286,0.03286028002200947,0.41500382554877435,57.0,89.0,74.0,46.0,66.5,43.0
mosold,4.708917012403313e-05,,4.708917012403313e-05,1,0.006928518243851125,0.001701839915067005,-8.87780631461501,58.0,93.0,204.0,272.0,156.75,214.0
heatingqc_Ex,3.340472194918766e-05,,3.340472194918766e-05,1,0.024668888692494183,0.12373766231901207,0.9140425012308697,59.0,41.0,28.0,43.0,42.75,31.0
masvnrarea,2.6225913047643385e-05,,2.6225913047643385e-05,1,0.03755452728292617,0.05499133798633293,-1.0912072597966471,60.0,23.0,53.0,268.0,101.0,245.0
neighborhood_Mitchel,2.4905774267182273e-05,,2.4905774267182273e-05,1,0.0015816749258825077,0.01986116756209455,0.1195414519010228,61.0,181.0,104.0,48.0,98.5,133.0
bsmtfinsf2,2.4408990431627467e-05,,2.4408990431627467e-05,1,0.024451553790633344,0.005748907337700615,2.8877969715074867,62.0,43.0,172.0,39.0,79.0,133.0
garagefinish_RFn,2.2750127609310364e-05,,2.2750127609310364e-05,1,0.01251666821440235,0.050741744237775555,-0.16093804567135522,63.0,60.0,56.0,262.0,110.25,206.0
poolarea,1.918521754980786e-05,,1.918521754980786e-05,1,0.025545489080930444,0.0,0.0,64.0,35.0,252.0,157.5,127.125,217.0
bsmtqual_TA,1.9080398506956607e-05,,1.9080398506956607e-05,1,0.02958047498555631,0.20564989442073545,-0.20391335615204298,65.0,30.0,16.0,263.0,93.5,247.0
neighborhood_OldTown,1.812218807909372e-05,,1.812218807909372e-05,1,0.009501257763734342,0.0237068745246507,0.09927856337671984,66.0,78.0,94.0,50.0,72.0,44.0
enclosedporch,1.7469683110313075e-05,,1.7469683110313075e-05,1,0.03469319793647263,0.023410509236299726,1.6429713022669603,67.0,25.0,95.0,41.0,57.0,70.0
yrsold,1.7086825226646537e-05,,1.7086825226646537e-05,1,0.009184820170101903,0.009928642824905687,0.7372368996984733,68.0,81.0,152.0,44.0,86.25,108.0
bsmtcond_Fa,1.4356955624073887e-05,,1.4356955624073887e-05,1,0.0039640058149524844,0.017198692340792965,-0.000288369524787413,69.0,124.0,111.0,232.0,134.0,163.0
condition1_Artery,1.2119363923619762e-05,,1.2119363923619762e-05,1,0.003565869974057523,0.010461965343273816,0.07041555263131158,70.0,128.0,149.0,54.0,100.25,95.0
